Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_evaporite_merged,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_evaporite_merged,GLiM_model_lithology,Combined_raw_lithology,Combined_evaporite_merged,Combined_model_lithology
VMS,Precambrian,54.6611111111,-102.033333333,1520.5,8700,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
Magmatic sulfide,Precambrian,55.7022222222,-97.9247222222,1880.0,8701,metamorphic,False,metamorphic,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Sediment-Hosted,Precambrian,-31.087736111111,138.67381944444,630.0,8744,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
VMS,Mesozoic,55.393361111111,-129.85136388889,226.5,8794,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
Porphyry,Cenozoic,16.6377777778,120.676666667,10.5,8802,other,False,other,other,False,other,other,False,other
Porphyry,Cenozoic,-6.31513109142,155.495322227,3.4,8831,other,False,other,other,False,other,other,False,other
Porphyry,Mesozoic,49.879444444444,-120.00638888889,143.0,8859,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
VMS,Mesozoic,49.61,-123.141666667,105.5,8875,volcanic,False,volcanic,other,False,other,volcanic,False,volcanic
Porphyry,Cenozoic,-33.149265422398,-70.280914306641,4.9535,8886,volcanic,False,volcanic,felsic,False,felsic,volcanic,False,volcanic
VMS,Paleozoic,47.4083333333,-65.8225,445.0,8905,volcanic,False,volcanic,siliciclastic,False,siliciclastic,volcanic,False,volcanic
VMS,Paleozoic,47.4788888889,-65.8922222222,445.0,8906,other,False,other,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic
VMS,Paleozoic,48.8230555556,-56.8661111111,452.0,8945,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Paleozoic,50.1975,82.4347222222,398.0,9014,other,False,other,volcanic,False,volcanic,volcanic,False,volcanic
Magmatic sulfide,Mesozoic,61.4652777778,-139.5275,232.0,9386,volcanic,False,volcanic,mafic,False,mafic,volcanic,False,volcanic
VMS,Precambrian,64.871667,20.362968,1520.5,9496,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Mesozoic,38.2294444444,-120.881944444,170.0,9552,carbonate,False,carbonate,siliciclastic,False,siliciclastic,carbonate,False,carbonate
VMS,Paleozoic,-35.5915697261,149.442210503,431.5,9592,volcanic,False,volcanic,other,False,other,volcanic,False,volcanic
VMS,Precambrian,64.058,24.79,1880.0,9697,siliciclastic,False,siliciclastic,metamorphic,False,metamorphic,siliciclastic,False,siliciclastic
VMS,Precambrian,64.4138888889,25.1422222222,1520.5,9702,metamorphic,False,metamorphic,volcanic,False,volcanic,metamorphic,False,metamorphic
Porphyry,Cenozoic,40.4722222222,23.7036111111,19.0,9706,metamorphic,False,metamorphic,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Sediment-Hosted,Precambrian,-12.648545714661,28.040627977094,900.0,9736,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Mesozoic,24.41869265,56.40773624,100.0,9743,other,False,other,carbonate,False,carbonate,carbonate,False,carbonate
IOCG,Precambrian,19.75,-14.3833333333,2492.0,9786,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Precambrian,48.3061111111,-79.0672222222,3250.0,9832,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
Porphyry,Cenozoic,47.899009728278,20.089933276176,35.3,9905,carbonate,False,carbonate,volcanic,False,volcanic,carbonate,False,carbonate
Sediment-Hosted,Unknown,-12.82324,28.07512,,10049,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Precambrian,54.8333333333,-100.283333333,1800.0,10058,volcanic,False,volcanic,felsic,False,felsic,volcanic,False,volcanic
Magmatic sulfide,Precambrian,46.476256349528,-81.06023639679,1785.0,10328,siliciclastic,False,siliciclastic,other,False,other,siliciclastic,False,siliciclastic
VMS,Precambrian,54.6513888889,-102.331388889,1520.5,10351,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
Magmatic sulfide,Precambrian,46.462280137519,-81.186388528286,1785.0,10383,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Precambrian,54.722092157646,-101.70988082886,1907.5,10452,mafic,False,mafic,mafic,False,mafic,mafic,False,mafic
Porphyry,Precambrian,67.0725,20.9575,935.85,10591,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Precambrian,67.785476874728,20.078332900302,1930.0,10617,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
VMS,Precambrian,67.8776890181,20.1402924561,2200.0,10618,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
VMS,Precambrian,64.8467083298,20.2762852907,1520.5,10663,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
VMS,Paleozoic,47.4297222222,-66.4016666667,445.0,10687,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
Sediment-Hosted,Paleozoic,45.9369444444,-64.4769444444,300.0,10790,other,False,other,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic
VMS,Precambrian,48.0727777778,-77.7133333333,2715.0,10867,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Precambrian,65.141854,19.157208,1950.0,10915,siliciclastic,False,siliciclastic,volcanic,False,volcanic,siliciclastic,False,siliciclastic
VMS,Precambrian,65.09996,19.102939,1520.5,10917,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
VMS,Precambrian,65.089900871547,14.45798134795,1950.0,10918,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Magmatic sulfide,Precambrian,46.58,-80.795,1780.0,11127,siliciclastic,False,siliciclastic,other,False,other,siliciclastic,False,siliciclastic
VMS,Precambrian,54.763888888889,-101.88361111111,1800.0,11182,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Porphyry,Paleozoic,48.9705555556,-65.5202777778,348.0,11307,other,False,other,other,False,other,other,False,other
Porphyry,Unknown,34.4822222222,-111.856944444,,11459,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Paleozoic,31.364692687987,-8.0559644848108,350.0,11605,other,False,other,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic
IOCG,Precambrian,-30.44,136.872777778,1070.5,11726,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic,siliciclastic,False,siliciclastic
VMS,Cenozoic,40.1669444444,140.832777778,14.15,11734,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Paleozoic,47.2908333333,-66.0805555556,464.5,11777,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Paleozoic,-41.8402208296,145.516600589,518.0,11803,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Mesozoic,55.4333333333,-129.816666667,240.0,11824,volcanic,False,volcanic,other,False,other,volcanic,False,volcanic
VMS,Precambrian,-25.453766666667,118.57144444444,1800.0,11886,metamorphic,False,metamorphic,other,False,other,metamorphic,False,metamorphic
Magmatic sulfide,Unknown,-25.541142,27.184777,,11952,mafic,False,mafic,mafic,False,mafic,mafic,False,mafic
Porphyry,Cenozoic,18.8808333333,-101.640833333,36.0,11973,volcanic,False,volcanic,felsic,False,felsic,volcanic,False,volcanic
VMS,Precambrian,60.194208643377,23.363960814819,1800.0,12048,siliciclastic,False,siliciclastic,metamorphic,False,metamorphic,siliciclastic,False,siliciclastic
VMS,Precambrian,61.71,23.25,1900.0,12053,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Porphyry,Precambrian,63.7708333333,25.2338888889,1850.0,12054,siliciclastic,False,siliciclastic,metamorphic,False,metamorphic,siliciclastic,False,siliciclastic
Porphyry,Mesozoic,50.6,-127.477777778,171.0,12057,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
Porphyry,Cenozoic,48.430248,18.769848,14.5,12663,felsic,False,felsic,siliciclastic,False,siliciclastic,felsic,False,felsic
VMS,Precambrian,63.6833333333,25.9833333333,1520.5,13126,siliciclastic,False,siliciclastic,felsic,False,felsic,siliciclastic,False,siliciclastic
