mineral_raw,mineral_base,key,count,family_primary,family_copper,tags
Pyrite,Pyrite,pyrite,1277,Sulfides_and_analogues,Fe_sulfides,Fe_sulfide
Chalcopyrite,Chalcopyrite,chalcopyrite,1274,Sulfides_and_analogues,Cu_sulfides_primary,Cu_bearing;hypogene_Cu
Muscovite,Muscovite,muscovite,831,Silicates,Micas_sericite,
Sphalerite,Sphalerite,sphalerite,811,Sulfides_and_analogues,Zn_sulfides,
Quartz,Quartz,quartz,750,Silicates,Quartz,
Magnetite,Magnetite,magnetite,749,Oxides_hydroxides,Fe_oxides_hydroxides,Fe_oxide
Bornite,Bornite,bornite,705,Sulfides_and_analogues,Cu_sulfides_primary,Cu_bearing;hypogene_Cu
Galena,Galena,galena,695,Sulfides_and_analogues,Pb_sulfides,
Chalcocite,Chalcocite,chalcocite,642,Sulfides_and_analogues,Cu_sulfides_supergene,Cu_bearing;supergene_Cu
Molybdenite,Molybdenite,molybdenite,585,Sulfides_and_analogues,Mo_sulfides,Mo_bearing;porphyry_Mo_indicator
Hematite,Hematite,hematite,572,Oxides_hydroxides,Fe_oxides_hydroxides,Fe_oxide
Epidote,Epidote,epidote,572,Silicates,Skarn_calc_silicates,skarn_proxy
Pyrrhotite,Pyrrhotite,pyrrhotite,564,Sulfides_and_analogues,Fe_sulfides,Fe_sulfide
Malachite,Malachite,malachite,530,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing;supergene_Cu
Calcite,Calcite,calcite,527,Carbonates_nitrates,Carbonates,
Gold,Gold,gold,499,Native_elements,Au_Ag_native,Au_bearing
Covellite,Covellite,covellite,483,Sulfides_and_analogues,Cu_sulfides_supergene,Cu_bearing;supergene_Cu
Azurite,Azurite,azurite,351,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing;supergene_Cu
Kaolinite,Kaolinite,kaolinite,327,Silicates,Clay_minerals,
Albite,Albite,albite,297,Silicates,Feldspars,
Copper,Copper,copper,295,Native_elements,Native_elements_misc,Cu_bearing
Gypsum,Gypsum,gypsum,293,Sulfates_chromates_molybdates_tungstates,Evaporite_sulfates,
Baryte,Baryte,baryte,290,Sulfates_chromates_molybdates_tungstates,Barite,
Arsenopyrite,Arsenopyrite,arsenopyrite,278,Sulfosalts,Ni_Co_sulfides_arsenides,
Actinolite,Actinolite,actinolite,275,Silicates,Skarn_calc_silicates,skarn_proxy
Cuprite,Cuprite,cuprite,265,Oxides_hydroxides,Cu_oxides,Cu_bearing;supergene_Cu
Goethite,Goethite,goethite,260,Oxides_hydroxides,Fe_oxides_hydroxides,Fe_oxide
Chrysocolla,Chrysocolla,chrysocolla,236,Silicates,Other_silicates,Cu_bearing;supergene_Cu
Anhydrite,Anhydrite,anhydrite,229,Sulfates_chromates_molybdates_tungstates,Evaporite_sulfates,
Rutile,Rutile,rutile,226,Oxides_hydroxides,Ti_oxides,
Marcasite,Marcasite,marcasite,217,Sulfides_and_analogues,Fe_sulfides,Fe_sulfide
Digenite,Digenite,digenite,209,Sulfides_and_analogues,Cu_sulfides_supergene,Cu_bearing;supergene_Cu
Dolomite,Dolomite,dolomite,193,Carbonates_nitrates,Carbonates,
Silver,Silver,silver,189,Native_elements,Au_Ag_native,Ag_bearing
Ilmenite,Ilmenite,ilmenite,187,Oxides_hydroxides,Fe_oxides_hydroxides,
Titanite,Titanite,titanite,172,Silicates,Other_silicates,
Jarosite,Jarosite,jarosite,165,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Siderite,Siderite,siderite,153,Carbonates_nitrates,Carbonates,
Tenorite,Tenorite,tenorite,141,Oxides_hydroxides,Cu_oxides,Cu_bearing;supergene_Cu
Enargite,Enargite,enargite,134,Sulfosalts,Cu_sulfides_other,Cu_bearing
Zircon,Zircon,zircon,132,Silicates,Other_silicates,
Fluorite,Fluorite,fluorite,130,Halides,Halides_fluorite,
Cubanite,Cubanite,cubanite,128,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Alunite,Alunite,alunite,126,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Pentlandite,Pentlandite,pentlandite,125,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Brochantite,Brochantite,brochantite,119,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Tremolite,Tremolite,tremolite,112,Silicates,Other_silicates,
Talc,Talc,talc,109,Silicates,Other_silicates,
Hessite,Hessite,hessite,104,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Montmorillonite,Montmorillonite,montmorillonite,103,Silicates,Clay_minerals,
Cobaltite,Cobaltite,cobaltite,102,Sulfosalts,Ni_Co_sulfides_arsenides,Co_bearing
Chalcanthite,Chalcanthite,chalcanthite,102,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Diopside,Diopside,diopside,102,Silicates,Skarn_calc_silicates,skarn_proxy
Ankerite,Ankerite,ankerite,99,Carbonates_nitrates,Carbonates,
Scheelite,Scheelite,scheelite,89,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Pyrophyllite,Pyrophyllite,pyrophyllite,87,Silicates,Other_silicates,
Acanthite,Acanthite,acanthite,84,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Bismuth,Bismuth,bismuth,81,Native_elements,Native_elements_misc,
Atacamite,Atacamite,atacamite,79,Halides,Halides_other,Cu_bearing
Bismuthinite,Bismuthinite,bismuthinite,77,Sulfosalts,As_Sb_Bi_sulfosalts,
Phlogopite,Phlogopite,phlogopite,76,Silicates,Other_silicates,
Orthoclase,Orthoclase,orthoclase,71,Silicates,Feldspars,
Mackinawite,Mackinawite,mackinawite,63,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Andalusite,Andalusite,andalusite,60,Silicates,Other_silicates,
Altaite,Altaite,altaite,59,Sulfides_and_analogues,Pb_sulfides,
Clinochlore,Clinochlore,clinochlore,59,Silicates,Other_silicates,
Cassiterite,Cassiterite,cassiterite,56,Oxides_hydroxides,Oxides_misc,
Graphite,Graphite,graphite,53,Native_elements,Native_elements_misc,
Stannite,Stannite,stannite,52,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Millerite,Millerite,millerite,52,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Dickite,Dickite,dickite,52,Silicates,Other_silicates,
Cerussite,Cerussite,cerussite,52,Carbonates_nitrates,Carbonates,
Bournonite,Bournonite,bournonite,51,Sulfosalts,Cu_sulfides_other,Cu_bearing
Violarite,Violarite,violarite,51,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Gersdorffite,Gersdorffite,gersdorffite,50,Sulfosalts,Ni_Co_sulfides_arsenides,Ni_bearing
Chromite,Chromite,chromite,49,Oxides_hydroxides,Fe_oxides_hydroxides,
Diaspore,Diaspore,diaspore,48,Oxides_hydroxides,Oxides_misc,
Uraninite,Uraninite,uraninite,48,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Microcline,Microcline,microcline,47,Silicates,Feldspars,
Carrollite,Carrollite,carrollite,46,Sulfides_and_analogues,Cu_sulfides_other,Co_bearing;Cu_bearing
Turquoise,Turquoise,turquoise,44,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing
Pseudomalachite,Pseudomalachite,pseudomalachite,44,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing
Valleriite,Valleriite,valleriite,44,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Nickeline,Nickeline,nickeline,44,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Djurleite,Djurleite,djurleite,44,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Tellurobismuthite,Tellurobismuthite,tellurobismuthite,43,Sulfosalts,As_Sb_Bi_sulfosalts,
Prehnite,Prehnite,prehnite,41,Silicates,Other_silicates,
Sperrylite,Sperrylite,sperrylite,40,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Merenskyite,Merenskyite,merenskyite,39,Sulfides_and_analogues,Sulfides_misc,
Spinel,Spinel,spinel,39,Oxides_hydroxides,Oxides_misc,
Andradite,Andradite,andradite,39,Silicates,Other_silicates,
Wittichenite,Wittichenite,wittichenite,38,Sulfosalts,Cu_sulfides_other,Cu_bearing
Augite,Augite,augite,38,Silicates,Other_silicates,
Smithsonite,Smithsonite,smithsonite,38,Carbonates_nitrates,Carbonates,
Libethenite,Libethenite,libethenite,38,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing
Anglesite,Anglesite,anglesite,37,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Anthophyllite,Anthophyllite,anthophyllite,36,Silicates,Other_silicates,
Melanterite,Melanterite,melanterite,36,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Clinozoisite,Clinozoisite,clinozoisite,36,Silicates,Epidote_group,
Petzite,Petzite,petzite,36,Sulfides_and_analogues,Sulfides_misc,Ag_bearing;Au_bearing
Fluorapatite,Fluorapatite,fluorapatite,35,Phosphates_arsenates_vanadates,Phosphates_apatite,
Antlerite,Antlerite,antlerite,34,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Cordierite,Cordierite,cordierite,34,Silicates,Other_silicates,
Zoisite,Zoisite,zoisite,34,Silicates,Other_silicates,
Tetradymite,Tetradymite,tetradymite,34,Sulfosalts,As_Sb_Bi_sulfosalts,
Rhodochrosite,Rhodochrosite,rhodochrosite,32,Carbonates_nitrates,Carbonates,
Wollastonite,Wollastonite,wollastonite,32,Silicates,Skarn_calc_silicates,skarn_proxy
Luzonite,Luzonite,luzonite,31,Sulfosalts,Cu_sulfides_other,Cu_bearing
Aikinite,Aikinite,aikinite,31,Sulfosalts,Cu_sulfides_other,Cu_bearing
Clausthalite,Clausthalite,clausthalite,30,Sulfides_and_analogues,Pb_sulfides,
Laumontite,Laumontite,laumontite,30,Silicates,Other_silicates,
Stibnite,Stibnite,stibnite,30,Sulfosalts,As_Sb_Bi_sulfosalts,
Stromeyerite,Stromeyerite,stromeyerite,30,Sulfides_and_analogues,Cu_sulfides_other,Ag_bearing;Cu_bearing
Almandine,Almandine,almandine,29,Silicates,Other_silicates,
Grossular,Grossular,grossular,29,Silicates,Other_silicates,
Michenerite,Michenerite,michenerite,29,Sulfosalts,As_Sb_Bi_sulfosalts,
Boulangerite,Boulangerite,boulangerite,28,Sulfosalts,Pb_sulfides,
Melonite,Melonite,melonite,28,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Neotocite,Neotocite,neotocite,28,Silicates,Other_silicates,
Calaverite,Calaverite,calaverite,28,Sulfides_and_analogues,Sulfides_misc,Au_bearing
